Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000059,0.885546,-0.000066,0.0,0.0,0.0,-0.005885,88.554581,157.072966,0.0,0.0,-0.102282,-0.024293,0.00177,0.198636,-0.063428,0.024293,-0.116525,0.025575,0.006653,0.226381,-0.05433,-0.024049,-0.109005,0.174482,-0.0,-0.069169,0.0,0.0,0.0,-0.113223,-0.174482,0.0,-0.035037,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.001953,-0.005066,0.0,0.000199,0.0,0.000066,0.0,-0.000066,0.0,-0.000199,0.0,0.0,0.0,0.01532,
0.0,-0.000271,0.885466,-0.000066,0.0,1.570796,0.0,-0.021186,-0.007997,0.0,0.0,157.079596,-0.103859,-0.024293,0.00177,0.201249,-0.064454,0.024293,-0.1179,0.025575,0.006653,0.228593,-0.055154,-0.024049,-0.108583,0.174482,0.0,-0.068961,0.0,0.0,0.0,-0.112545,-0.174482,0.0,-0.034964,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.005066,0.0,0.000199,0.0,0.000066,0.0,-0.000066,0.0,-0.000199,0.0,-0.0,0.0,0.015467,
-0.0,-0.000483,0.885386,-0.000066,0.0,1.570796,-0.0,-0.021186,-0.007989,0.0,0.0,0.0,-0.105435,-0.024293,0.00177,0.203863,-0.06548,0.024293,-0.119276,0.025575,0.006653,0.230805,-0.055978,-0.024049,-0.108161,0.174482,0.0,-0.068753,0.0,0.0,0.0,-0.111866,-0.174482,0.0,-0.034891,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.001953,-0.005066,0.0,0.000199,0.0,0.000066,0.0,-0.000066,0.0,-0.000199,0.0,0.0,0.0,0.015613,
0.0,-0.000694,0.885306,-0.000066,0.0,1.570796,0.0,-0.021186,-0.007997,0.0,0.0,0.0,-0.107012,-0.024293,0.00177,0.206477,-0.066506,0.024293,-0.120652,0.025575,0.006653,0.233017,-0.056803,-0.024049,-0.10774,0.174482,0.0,-0.068546,0.0,0.0,0.0,-0.111187,-0.174482,0.0,-0.034817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.001953,-0.005066,0.0,0.000199,0.0,0.000066,0.0,-0.000066,0.0,-0.000199,0.0,0.0,0.0,0.01576,
0.0,-0.000905,0.885239,-0.000066,0.0,1.570796,0.0,-0.021007,-0.006731,0.0,0.0,0.0,-0.106988,-0.024293,0.00177,0.205961,-0.066225,0.024293,-0.121,0.025575,0.006653,0.233226,-0.05709,-0.024049,-0.10733,0.174482,0.0,-0.068338,0.0,0.0,0.0,-0.110533,-0.174482,0.0,-0.034744,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.005066,0.0,0.000199,0.0,0.000066,0.0,-0.000066,0.0,-0.000199,0.0,0.0,0.0,0.015882,
0.0,-0.001114,0.885178,-0.000066,0.0,1.570796,0.0,-0.020918,-0.006113,0.0,0.0,0.0,-0.106163,-0.024293,0.00177,0.203881,-0.065291,0.024293,-0.120835,0.025575,0.006653,0.232433,-0.057108,-0.024049,-0.106927,0.174482,-0.0,-0.06813,0.0,0.0,0.0,-0.109891,-0.174482,0.0,-0.034671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.005066,0.0,0.000199,0.0,0.000066,0.0,-0.000066,0.0,-0.000199,0.0,0.0,0.0,0.015992,
0.0,-0.001323,0.885117,-0.000066,0.0,1.570796,0.0,-0.020918,-0.006105,0.0,0.0,0.0,-0.105338,-0.024293,0.00177,0.201801,-0.064356,0.024293,-0.12067,0.025575,0.006653,0.23164,-0.057126,-0.024049,-0.106523,0.174482,0.0,-0.067923,0.0,-0.0,-0.0,-0.10925,-0.174482,0.0,-0.034598,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.001953,-0.005066,0.0,0.000199,0.0,0.000066,0.0,-0.000066,0.0,-0.000199,-0.0,0.0,0.0,0.016102,
0.0,-0.001527,0.885064,-0.000066,0.0,1.570796,0.0,-0.020433,-0.00522,0.0,0.0,0.0,-0.104622,-0.024293,0.00177,0.199955,-0.063554,0.024293,-0.12056,0.025575,0.006653,0.231001,-0.057145,-0.024049,-0.106138,0.174482,0.0,-0.067715,0.0,0.0,0.0,-0.108632,-0.174482,0.0,-0.034518,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.001953,-0.005066,0.0,0.000199,0.0,0.000066,0.0,-0.000066,0.0,-0.000199,0.0,0.0,0.0,0.016199,
0.0,-0.001722,0.88503,-0.000066,0.0,1.570796,0.0,-0.019463,-0.003465,0.0,0.0,0.0,-0.104127,-0.024293,0.00177,0.198574,-0.063017,0.024293,-0.12056,0.025575,0.006653,0.230669,-0.057163,-0.024049,-0.10579,0.174482,0.0,-0.067508,0.0,0.0,0.0,-0.108064,-0.174482,0.0,-0.034427,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.005066,0.0,0.000199,0.0,0.000066,0.0,-0.000066,0.0,-0.000199,0.0,0.0,0.0,0.016273,
-0.0,-0.001916,0.884995,-0.000066,0.0,1.570796,-0.0,-0.019463,-0.003457,0.0,0.0,0.0,-0.103632,-0.024293,0.00177,0.197194,-0.06248,0.024293,-0.12056,0.025575,0.006653,0.230338,-0.057181,-0.024049,-0.105441,0.174482,-0.0,-0.0673,-0.0,0.0,0.0,-0.107495,-0.174482,0.0,-0.034335,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.001953,-0.005066,0.0,0.000199,0.0,0.000066,0.0,-0.000066,0.0,-0.000199,0.0,0.0,0.0,0.016346,
