Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000059,0.887291,-0.000066,0.0,0.0,0.0,-0.005897,88.729103,157.072966,0.0,0.0,-0.071917,-0.024293,0.000366,0.139644,-0.032778,0.024232,-0.089693,0.025392,0.00763,0.174176,-0.030886,-0.023988,-0.116586,0.174482,-0.0,-0.072772,-0.0,0.0,0.0,-0.146131,-0.174482,-0.0,-0.033572,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,-0.0,-0.000061,0.0,-0.000182,0.0,-0.0,0.0,0.013367,
0.0,-0.000021,0.887231,-0.000066,0.0,1.570796,0.0,0.003775,-0.005974,0.0,0.0,157.079596,-0.071917,-0.024293,0.000366,0.139644,-0.032778,0.024232,-0.090757,0.025392,0.007611,0.176326,-0.031985,-0.023988,-0.116411,0.174482,0.0,-0.072772,0.0,-0.0,0.0,-0.145194,-0.174482,0.0,-0.033297,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.0,0.013257,
0.0,0.000017,0.887172,-0.000066,0.0,1.570796,0.0,0.003775,-0.005981,0.0,0.0,0.0,-0.071917,-0.024293,0.000366,0.139644,-0.032778,0.024232,-0.09182,0.025392,0.007593,0.178477,-0.033084,-0.023988,-0.116237,0.174482,0.0,-0.072772,-0.0,0.0,0.0,-0.144258,-0.174482,0.0,-0.033023,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.0,0.013147,
0.0,0.000054,0.887112,-0.000066,0.0,1.570796,0.0,0.003775,-0.005974,0.0,0.0,0.0,-0.071917,-0.024293,0.000366,0.139644,-0.032778,0.024232,-0.092883,0.025392,0.007575,0.180628,-0.034182,-0.023988,-0.116063,0.174482,0.0,-0.072772,-0.0,-0.0,-0.0,-0.143322,-0.174482,0.0,-0.032748,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.001953,-0.004639,0.0,0.000182,-0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.0,0.013038,
0.0,0.000114,0.887062,-0.000066,0.0,1.570796,0.0,0.005935,-0.004966,0.0,0.0,0.0,-0.071832,-0.024293,0.000366,0.139644,-0.032998,0.024232,-0.093408,0.025392,0.007556,0.181787,-0.034891,-0.023988,-0.115889,0.174482,-0.0,-0.072723,0.0,0.0,0.0,-0.142361,-0.174482,0.0,-0.032498,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.004639,-0.0,0.000182,0.0,0.000061,-0.0,-0.000061,-0.0,-0.000182,0.0,0.0,0.0,0.012928,
0.0,0.000184,0.887018,-0.000066,0.0,1.570796,-0.0,0.007015,-0.004455,0.0,0.0,0.0,-0.071703,-0.024293,0.000366,0.139644,-0.033328,0.024232,-0.093665,0.025392,0.007538,0.182448,-0.035403,-0.023988,-0.115714,0.174482,0.0,-0.07265,0.0,0.0,0.0,-0.141388,-0.174482,0.0,-0.032259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.0,0.012818,
0.0,0.000254,0.886973,-0.000066,0.0,1.570796,0.0,0.007015,-0.004455,0.0,0.0,0.0,-0.071575,-0.024293,0.000366,0.139644,-0.033657,0.024232,-0.093922,0.025392,0.00752,0.18311,-0.035916,-0.023988,-0.11554,0.174482,0.0,-0.072577,0.0,0.0,0.0,-0.140415,-0.174482,0.0,-0.032021,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,-0.0,0.0,0.012708,
0.0,0.00034,0.886936,-0.000066,0.0,1.570796,0.0,0.008608,-0.003707,0.0,0.0,0.0,-0.071447,-0.024293,0.000366,0.139644,-0.033987,0.024232,-0.094148,0.025392,0.007501,0.183742,-0.036417,-0.023988,-0.115369,0.174482,-0.0,-0.072528,-0.0,0.0,0.0,-0.139418,-0.174482,0.0,-0.031808,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.0,0.012635,
0.0,0.000458,0.886914,-0.000066,0.0,1.570796,0.0,0.011794,-0.002196,0.0,0.0,0.0,-0.071319,-0.024293,0.000366,0.139644,-0.034317,0.024232,-0.094313,0.025392,0.007483,0.184312,-0.036893,-0.023988,-0.115204,0.174482,-0.0,-0.072528,0.0,0.0,0.0,-0.138371,-0.174482,0.0,-0.031643,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,-0.0,0.0,0.012635,
0.0,0.000576,0.886892,-0.000066,0.0,1.570796,0.0,0.011794,-0.002189,0.0,0.0,0.0,-0.07119,-0.024293,0.000366,0.139644,-0.034646,0.024232,-0.094478,0.025392,0.007465,0.184882,-0.037369,-0.023988,-0.115039,0.174482,-0.0,-0.072528,0.0,0.0,0.0,-0.137325,-0.174482,0.0,-0.031478,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.0,0.012635,
