Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000059,0.882322,-0.000066,0.0,0.0,0.0,-0.005864,88.23214,157.072966,0.0,0.0,0.000793,-0.02411,0.002258,0.139644,-0.111328,0.024171,-0.047308,0.025392,0.004944,0.239594,-0.132731,-0.024721,-0.094337,0.174482,-0.0,-0.058054,-0.0,0.0,0.0,-0.10766,-0.174482,0.0,-0.006043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,-0.0,0.019227,0.015198,
0.0,-0.000021,0.882182,-0.000066,0.0,1.570796,0.0,0.003771,-0.013969,0.0,0.0,157.079596,-0.00047,-0.02411,0.00235,0.142233,-0.112612,0.024171,-0.04892,0.025392,0.004889,0.242822,-0.134346,-0.024723,-0.094191,0.174482,-0.0,-0.058054,0.0,0.0,0.0,-0.107202,-0.174482,0.0,-0.006189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.01887,0.015125,
0.0,0.000017,0.882042,-0.000066,0.0,1.570796,0.0,0.003771,-0.013962,0.0,0.0,0.0,-0.001733,-0.02411,0.002441,0.144821,-0.113896,0.024171,-0.050532,0.025392,0.004834,0.246051,-0.135961,-0.024725,-0.094044,0.174482,0.0,-0.058054,0.0,0.0,0.0,-0.106743,-0.174482,0.0,-0.006336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.018513,0.015052,
0.0,0.000054,0.881903,-0.000066,0.0,1.570796,0.0,0.003771,-0.013969,0.0,0.0,0.0,-0.002997,-0.02411,0.002533,0.14741,-0.115179,0.024171,-0.052144,0.025392,0.004779,0.24928,-0.137576,-0.024727,-0.093897,0.174482,0.0,-0.058054,0.0,0.0,0.0,-0.106285,-0.174482,0.0,-0.006482,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.018156,0.014979,
0.0,0.000111,0.881779,-0.000066,0.0,1.570796,0.0,0.005653,-0.012397,0.0,0.0,0.0,-0.002441,-0.02411,0.002564,0.146535,-0.115204,0.024171,-0.052461,0.025392,0.004761,0.250134,-0.138812,-0.024729,-0.093738,0.174482,0.0,-0.058054,-0.0,0.0,0.0,-0.105851,-0.174482,0.0,-0.006604,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,-0.0,0.017799,0.014918,
0.0,0.000177,0.881662,-0.000066,0.0,1.570796,0.0,0.006595,-0.011627,0.0,0.0,0.0,-0.000977,-0.02411,0.002564,0.143928,-0.114599,0.024171,-0.052132,0.025392,0.004761,0.249802,-0.139858,-0.024731,-0.093573,0.174482,0.0,-0.058054,0.0,0.0,0.0,-0.105429,-0.174482,0.0,-0.006714,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,-0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.017442,0.014863,
0.0,0.000243,0.881546,-0.000066,0.0,1.570796,0.0,0.006595,-0.011619,0.0,0.0,0.0,0.000488,-0.02411,0.002564,0.141321,-0.113993,0.024171,-0.051802,0.025392,0.004761,0.24947,-0.140905,-0.024733,-0.093408,0.174482,0.0,-0.058054,0.0,0.0,0.0,-0.105007,-0.174482,0.0,-0.006824,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.017084,0.014808,
0.0,0.000317,0.881439,-0.000066,0.0,1.570796,0.0,0.007415,-0.010749,0.0,0.0,0.0,0.00152,-0.02411,0.002564,0.139583,-0.11381,0.024171,-0.051454,0.025392,0.004761,0.249095,-0.141865,-0.024735,-0.093231,0.174482,0.0,-0.058054,-0.0,0.0,0.0,-0.104598,-0.174482,-0.0,-0.006928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.016749,0.014771,
0.0,0.000408,0.881348,-0.000066,0.0,1.570796,0.0,0.009055,-0.009033,0.0,0.0,0.0,0.001685,-0.02411,0.002564,0.139583,-0.11447,0.024171,-0.051069,0.025392,0.004761,0.248633,-0.142655,-0.024737,-0.09303,0.174482,0.0,-0.058054,0.0,0.0,0.0,-0.104213,-0.174482,0.0,-0.007019,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,-0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.016456,0.014771,
0.0,0.000498,0.881258,-0.000066,0.0,1.570796,0.0,0.009055,-0.009025,0.0,0.0,0.0,0.001849,-0.02411,0.002564,0.139583,-0.115131,0.024171,-0.050684,0.025392,0.004761,0.248172,-0.143444,-0.024739,-0.092828,0.174482,-0.0,-0.058054,-0.0,0.0,0.0,-0.103828,-0.174482,-0.0,-0.007111,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001953,-0.004639,0.0,0.000182,0.0,0.000061,0.0,-0.000061,0.0,-0.000182,0.0,0.0,0.016163,0.014771,
