Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000059,0.880749,-0.000066,0.0,0.0,0.0,-0.005853,88.074852,157.072966,0.0,0.0,-0.143744,-0.024171,0.003479,0.279297,-0.11035,0.024415,-0.157639,0.02588,0.005005,0.306382,-0.099593,-0.024293,-0.101915,0.174482,0.0,-0.061779,0.0,0.0,0.0,-0.106071,-0.174482,0.0,-0.036624,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.001953,-0.005005,0.0,0.000196,0.0,0.000065,0.0,-0.000065,0.0,-0.000196,0.0,0.0,0.0,0.010437,
0.0,-0.000143,0.880674,-0.000066,0.0,1.570796,0.0,-0.00849,-0.007454,0.0,0.0,157.079596,-0.144625,-0.024171,0.003479,0.280832,-0.110992,0.024415,-0.158447,0.02588,0.005005,0.307753,-0.100161,-0.024293,-0.101796,0.174482,0.0,-0.061779,0.0,0.0,0.0,-0.105594,-0.174482,0.0,-0.036514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.001953,-0.005005,0.0,0.000196,-0.0,0.000065,0.0,-0.000065,0.0,-0.000196,0.0,-0.0,0.0,0.010382,
0.0,-0.000228,0.880599,-0.000066,0.0,1.570796,0.0,-0.00849,-0.007462,0.0,0.0,0.0,-0.145506,-0.024171,0.003479,0.282367,-0.111634,0.024415,-0.159255,0.02588,0.005005,0.309125,-0.100729,-0.024293,-0.101677,0.174482,0.0,-0.061779,0.0,0.0,0.0,-0.105118,-0.174482,0.0,-0.036404,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001953,-0.005005,0.0,0.000196,0.0,0.000065,0.0,-0.000065,0.0,-0.000196,0.0,0.0,0.0,0.010328,
0.0,-0.000313,0.880525,-0.000066,0.0,1.570796,0.0,-0.00849,-0.007454,0.0,0.0,0.0,-0.146388,-0.024171,0.003479,0.283902,-0.112276,0.024415,-0.160063,0.02588,0.005005,0.310496,-0.101298,-0.024293,-0.101557,0.174482,0.0,-0.061779,-0.0,0.0,0.0,-0.104641,-0.174482,0.0,-0.036295,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.005005,0.0,0.000196,0.0,0.000065,0.0,-0.000065,0.0,-0.000196,0.0,0.0,0.0,0.010273,
0.0,-0.000398,0.880458,-0.000066,0.0,1.570796,0.0,-0.008444,-0.006707,0.0,0.0,0.0,-0.146583,-0.024171,0.003479,0.284105,-0.11252,0.024415,-0.160382,0.02588,0.005005,0.310953,-0.101634,-0.024293,-0.101438,0.174482,-0.0,-0.06173,0.0,0.0,0.0,-0.104213,-0.174482,0.0,-0.036173,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.005005,0.0,0.000196,0.0,0.000065,0.0,-0.000065,0.0,-0.000196,0.0,-0.0,0.0,0.010205,
0.0,-0.000482,0.880395,-0.000066,0.0,1.570796,0.0,-0.008421,-0.006325,0.0,0.0,0.0,-0.146437,-0.024171,0.003479,0.283643,-0.112566,0.024415,-0.160455,0.02588,0.005005,0.310953,-0.101854,-0.024293,-0.101319,0.174482,0.0,-0.061657,-0.0,0.0,-0.0,-0.10381,-0.174482,0.0,-0.036044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.001953,-0.005005,0.0,0.000196,0.0,0.000065,0.0,-0.000065,0.0,-0.000196,0.0,0.0,0.0,0.010132,
-0.0,-0.000566,0.880331,-0.000066,0.0,1.570796,-0.0,-0.008421,-0.006325,0.0,0.0,0.0,-0.14629,-0.024171,0.003479,0.28318,-0.112612,0.024415,-0.160529,0.02588,0.005005,0.310953,-0.102074,-0.024293,-0.1012,0.174482,0.0,-0.061584,0.0,0.0,0.0,-0.103406,-0.174482,0.0,-0.035916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.005005,0.0,0.000196,0.0,0.000065,0.0,-0.000065,0.0,-0.000196,0.0,-0.0,0.0,0.010059,
0.0,-0.000649,0.880275,-0.000066,0.0,1.570796,0.0,-0.008244,-0.005593,0.0,0.0,0.0,-0.146118,-0.024171,0.003479,0.282669,-0.112658,0.024415,-0.160541,0.02588,0.005005,0.310811,-0.10222,-0.024293,-0.101084,0.174482,0.0,-0.061535,0.0,0.0,0.0,-0.103033,-0.174482,0.0,-0.035782,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001953,-0.005005,0.0,0.000196,0.0,0.000065,0.0,-0.000065,0.0,-0.000196,0.0,0.0,0.0,0.00998,
0.0,-0.000727,0.880234,-0.000066,0.0,1.570796,0.0,-0.007889,-0.004113,0.0,0.0,0.0,-0.145898,-0.024171,0.003479,0.282058,-0.112703,0.024415,-0.160431,0.02588,0.005005,0.310385,-0.10222,-0.024293,-0.100974,0.174482,-0.0,-0.061535,0.0,0.0,0.0,-0.102722,-0.174482,0.0,-0.035635,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.005005,-0.0,0.000196,0.0,0.000065,0.0,-0.000065,0.0,-0.000196,0.0,-0.0,0.0,0.009888,
0.0,-0.000806,0.880193,-0.000066,0.0,1.570796,0.0,-0.007889,-0.00412,0.0,0.0,0.0,-0.145678,-0.024171,0.003479,0.281448,-0.112749,0.024415,-0.160321,0.02588,0.005005,0.309958,-0.10222,-0.024293,-0.100864,0.174482,0.0,-0.061535,0.0,0.0,0.0,-0.10241,-0.174482,0.0,-0.035489,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.001953,-0.005005,-0.0,0.000196,0.0,0.000065,0.0,-0.000065,0.0,-0.000196,0.0,0.0,0.0,0.009796,
