Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
-0.0,-0.000059,0.892914,-0.000066,0.0,0.0,-0.0,-0.005934,89.291435,157.072966,0.0,0.0,-0.072345,-0.024659,-0.005615,0.141174,-0.040348,0.024049,-0.072222,0.025453,0.012757,0.140684,-0.018189,-0.023744,-0.137809,0.174482,-0.0,-0.085172,0.0,0.0,0.0,-0.158986,-0.174482,0.0,-0.033938,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.001953,-0.004944,0.0,0.000194,0.0,0.000065,0.0,-0.000065,-0.0,-0.000194,0.0,0.0,0.0,0.012207,
0.0,-0.000283,0.892861,-0.000066,0.0,1.570796,0.0,-0.022401,-0.005327,0.0,0.0,157.079596,-0.072601,-0.024659,-0.005615,0.141174,-0.040073,0.024049,-0.072479,0.025453,0.012757,0.140684,-0.017915,-0.023744,-0.137184,0.174482,0.0,-0.084897,0.0,0.0,0.0,-0.158288,-0.174482,-0.0,-0.033804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.004944,0.0,0.000194,0.0,0.000065,0.0,-0.000065,0.0,-0.000194,0.0,0.0,0.0,0.012207,
-0.0,-0.000507,0.892808,-0.000066,0.0,1.570796,-0.0,-0.022401,-0.005327,0.0,0.0,0.0,-0.072858,-0.024659,-0.005615,0.141174,-0.039799,0.024049,-0.072736,0.025453,0.012757,0.140684,-0.01764,-0.023744,-0.13656,0.174482,0.0,-0.084623,0.0,0.0,0.0,-0.15759,-0.174482,0.0,-0.03367,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004944,0.0,0.000194,0.0,0.000065,0.0,-0.000065,0.0,-0.000194,0.0,0.0,0.0,0.012207,
0.0,-0.000731,0.892755,-0.000066,0.0,1.570796,0.0,-0.022401,-0.005319,0.0,0.0,0.0,-0.073114,-0.024659,-0.005615,0.141174,-0.039524,0.024049,-0.072992,0.025453,0.012757,0.140684,-0.017365,-0.023744,-0.135936,0.174482,-0.0,-0.084348,0.0,0.0,0.0,-0.156892,-0.174482,0.0,-0.033535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.001953,-0.004944,0.0,0.000194,0.0,0.000065,0.0,-0.000065,0.0,-0.000194,0.0,0.0,0.0,0.012207,
0.0,-0.00096,0.892704,-0.000066,0.0,1.570796,0.0,-0.022911,-0.005045,0.0,0.0,0.0,-0.073371,-0.024659,-0.005615,0.141174,-0.039652,0.024049,-0.073249,0.025453,0.012684,0.140684,-0.017628,-0.023744,-0.135386,0.174482,0.0,-0.084109,0.0,0.0,0.0,-0.156292,-0.174482,0.0,-0.033401,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004944,0.0,0.000194,-0.0,0.000065,0.0,-0.000065,0.0,-0.000194,0.0,0.0,0.0,0.012256,
0.0,-0.001192,0.892655,-0.000066,0.0,1.570796,0.0,-0.023165,-0.004892,0.0,0.0,0.0,-0.073627,-0.024659,-0.005615,0.141174,-0.039982,0.024049,-0.073505,0.025453,0.012574,0.140684,-0.018159,-0.023744,-0.134872,0.174482,0.0,-0.083889,-0.0,0.0,0.0,-0.155741,-0.174482,0.0,-0.033267,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.001953,-0.004944,0.0,0.000194,0.0,0.000065,0.0,-0.000065,0.0,-0.000194,0.0,0.0,0.0,0.01233,
0.0,-0.001424,0.892606,-0.000066,0.0,1.570796,0.0,-0.023165,-0.004892,0.0,0.0,0.0,-0.073884,-0.024659,-0.005615,0.141174,-0.040312,0.024049,-0.073762,0.025453,0.012464,0.140684,-0.01869,-0.023744,-0.134358,0.174482,0.0,-0.08367,0.0,0.0,0.0,-0.15519,-0.174482,0.0,-0.033132,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001953,-0.004944,0.0,0.000194,0.0,0.000065,-0.0,-0.000065,0.0,-0.000194,0.0,-0.0,0.0,0.012403,
0.0,-0.001657,0.892559,-0.000066,0.0,1.570796,0.0,-0.023326,-0.004709,0.0,0.0,0.0,-0.074146,-0.024659,-0.005634,0.141174,-0.040641,0.024049,-0.074018,0.025453,0.012391,0.140684,-0.019221,-0.023744,-0.133899,0.174482,0.0,-0.083468,0.0,0.0,0.0,-0.154688,-0.174482,0.0,-0.032998,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.001953,-0.004944,0.0,0.000194,0.0,0.000065,0.0,-0.000065,0.0,-0.000194,0.0,0.0,0.0,0.012452,
0.0,-0.001894,0.892516,-0.000066,0.0,1.570796,0.0,-0.023647,-0.004312,0.0,0.0,0.0,-0.074421,-0.024659,-0.005689,0.141174,-0.040971,0.024049,-0.074275,0.025453,0.012391,0.140684,-0.019752,-0.023744,-0.133551,0.174482,0.0,-0.083303,-0.0,0.0,0.0,-0.154284,-0.174482,0.0,-0.032864,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.001953,-0.004944,0.0,0.000194,0.0,0.000065,0.0,-0.000065,0.0,-0.000194,0.0,0.0,0.0,0.012452,
-0.0,-0.00213,0.892473,-0.000066,0.0,1.570796,-0.0,-0.023647,-0.00432,0.0,0.0,0.0,-0.074696,-0.024659,-0.005744,0.141174,-0.041301,0.024049,-0.074531,0.025453,0.012391,0.140684,-0.020283,-0.023744,-0.133202,0.174482,0.0,-0.083138,0.0,0.0,0.0,-0.15388,-0.174482,0.0,-0.03273,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001953,-0.004944,0.0,0.000194,0.0,0.000065,0.0,-0.000065,0.0,-0.000194,0.0,0.0,0.0,0.012452,
