-0.008291,-0.975997,0.001461,0.0,0.0,0.0,-0.047061,0.007019,0.011553,0.0,0.0,0.0,-0.1385,-0.004898,0.118188,0.170977,-0.092261,0.009728,-0.134821,-0.014391,-0.1123,0.171037,-0.092261,0.009789,0.000029,-0.000019,-0.000003,-0.000041,0.00002,0.000011,0.0,-0.000082,
-0.00835,-0.975984,0.001472,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.138765,-0.004952,0.118412,0.171309,-0.092449,0.0098,-0.135049,-0.014475,-0.112469,0.171368,-0.092449,0.009858,0.000117,-0.000075,-0.000012,-0.000168,0.000083,0.000044,0.0,-0.000331,
-0.00841,-0.975971,0.001483,0.0,0.0,0.0,-0.059613,0.01297,0.010696,0.0,0.0,0.0,-0.139031,-0.005006,0.118635,0.171642,-0.092638,0.009871,-0.135277,-0.014559,-0.112638,0.171699,-0.092638,0.009928,0.000205,-0.000132,-0.000021,-0.000294,0.000145,0.000077,0.0,-0.00058,
-0.008469,-0.975958,0.001494,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.139296,-0.00506,0.118859,0.171975,-0.092827,0.009943,-0.135506,-0.014644,-0.112807,0.17203,-0.092827,0.009998,0.000293,-0.000189,-0.00003,-0.000421,0.000207,0.00011,0.0,-0.000829,
-0.008529,-0.975945,0.001504,0.0,0.0,0.0,-0.059612,0.01297,0.010696,0.0,0.0,0.0,-0.139561,-0.005113,0.119083,0.172307,-0.093016,0.010014,-0.135734,-0.014728,-0.112975,0.172361,-0.093016,0.010067,0.00038,-0.000246,-0.00004,-0.000547,0.000269,0.000143,0.0,-0.001078,
-0.008589,-0.975932,0.001515,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.139826,-0.005167,0.119307,0.17264,-0.093205,0.010085,-0.135962,-0.014812,-0.113144,0.172692,-0.093205,0.010137,0.000468,-0.000302,-0.000049,-0.000673,0.000332,0.000176,0.0,-0.001327,
-0.008648,-0.975919,0.001526,0.0,0.0,0.0,-0.059613,0.01297,0.010696,0.0,0.0,0.0,-0.140091,-0.005221,0.119531,0.172973,-0.093393,0.010157,-0.13619,-0.014896,-0.113313,0.173022,-0.093393,0.010206,0.000556,-0.000359,-0.000058,-0.0008,0.000394,0.000209,0.0,-0.001576,
-0.008708,-0.975906,0.001536,0.0,0.0,0.0,-0.059612,0.01297,0.010696,0.0,0.0,0.0,-0.140357,-0.005275,0.119754,0.173306,-0.093582,0.010228,-0.136419,-0.014981,-0.113482,0.173353,-0.093582,0.010276,0.000644,-0.000416,-0.000067,-0.000926,0.000456,0.000242,0.0,-0.001825,
-0.008768,-0.975893,0.001547,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.140622,-0.005328,0.119978,0.173638,-0.093771,0.0103,-0.136647,-0.015065,-0.11365,0.173684,-0.093771,0.010345,0.000732,-0.000473,-0.000076,-0.001052,0.000518,0.000274,0.0,-0.002074,
-0.008827,-0.97588,0.001558,0.0,0.0,0.0,-0.059613,0.01297,0.010696,0.0,0.0,0.0,-0.140887,-0.005382,0.120202,0.173971,-0.09396,0.010371,-0.136875,-0.015149,-0.113819,0.174015,-0.09396,0.010415,0.00082,-0.00053,-0.000085,-0.001179,0.000581,0.000307,0.0,-0.002323,
-0.008887,-0.975867,0.001568,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.141152,-0.005436,0.120426,0.174304,-0.094149,0.010443,-0.137103,-0.015234,-0.113988,0.174346,-0.094149,0.010485,0.000908,-0.000586,-0.000095,-0.001305,0.000643,0.00034,0.0,-0.002572,
-0.008946,-0.975854,0.001579,0.0,0.0,0.0,-0.059612,0.01297,0.010696,0.0,0.0,0.0,-0.141418,-0.00549,0.12065,0.174636,-0.094338,0.010514,-0.137332,-0.015318,-0.114156,0.174677,-0.094338,0.010554,0.000996,-0.000643,-0.000104,-0.001431,0.000705,0.000373,0.0,-0.002821,
-0.009006,-0.975841,0.00159,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.141683,-0.005543,0.120873,0.174969,-0.094526,0.010585,-0.13756,-0.015402,-0.114325,0.175008,-0.094526,0.010624,0.001084,-0.0007,-0.000113,-0.001558,0.000768,0.000406,0.0,-0.00307,
-0.009066,-0.975828,0.001601,0.0,0.0,0.0,-0.059613,0.01297,0.010696,0.0,0.0,0.0,-0.141948,-0.005597,0.121097,0.175302,-0.094715,0.010657,-0.137788,-0.015487,-0.114494,0.175339,-0.094715,0.010693,0.001171,-0.000757,-0.000122,-0.001684,0.00083,0.000439,0.0,-0.003319,
-0.009125,-0.975815,0.001611,0.0,0.0,0.0,-0.059612,0.012894,0.010696,0.0,0.0,0.0,-0.142213,-0.005651,0.121321,0.175635,-0.094904,0.010728,-0.138016,-0.015571,-0.114663,0.17567,-0.094904,0.010763,0.001259,-0.000813,-0.000131,-0.00181,0.000892,0.000472,0.0,-0.003568,
-0.009185,-0.975802,0.001622,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.142478,-0.005705,0.121545,0.175967,-0.095093,0.0108,-0.138245,-0.015655,-0.114831,0.176,-0.095093,0.010833,0.001347,-0.00087,-0.00014,-0.001937,0.000954,0.000505,0.0,-0.003817,
-0.009244,-0.975789,0.001633,0.0,0.0,0.0,-0.059613,0.01297,0.010696,0.0,0.0,0.0,-0.142744,-0.005758,0.121769,0.1763,-0.095282,0.010871,-0.138473,-0.015739,-0.115,0.176331,-0.095282,0.010902,0.001435,-0.000927,-0.000149,-0.002063,0.001017,0.000538,0.0,-0.004066,
-0.009304,-0.975776,0.001643,0.0,0.0,0.0,-0.059612,0.01297,0.010696,0.0,0.0,0.0,-0.143009,-0.005812,0.121992,0.176633,-0.09547,0.010942,-0.138701,-0.015824,-0.115169,0.176662,-0.09547,0.010972,0.001523,-0.000984,-0.000159,-0.002189,0.001079,0.000571,0.0,-0.004315,
-0.009364,-0.975763,0.001654,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.143274,-0.005866,0.122216,0.176965,-0.095659,0.011014,-0.138929,-0.015908,-0.115338,0.176993,-0.095659,0.011041,0.001611,-0.00104,-0.000168,-0.002316,0.001141,0.000604,0.0,-0.004564,
-0.009423,-0.975751,0.001665,0.0,0.0,0.0,-0.059613,0.01297,0.010696,0.0,0.0,0.0,-0.143539,-0.00592,0.12244,0.177298,-0.095848,0.011085,-0.139158,-0.015992,-0.115506,0.177324,-0.095848,0.011111,0.001699,-0.001097,-0.000177,-0.002442,0.001203,0.000637,0.0,-0.004813,
-0.009483,-0.975738,0.001675,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.143805,-0.005973,0.122664,0.177631,-0.096037,0.011157,-0.139386,-0.016077,-0.115675,0.177655,-0.096037,0.01118,0.001787,-0.001154,-0.000186,-0.002568,0.001266,0.00067,0.0,-0.005062,
-0.009543,-0.975725,0.001686,0.0,0.0,0.0,-0.059612,0.01297,0.010696,0.0,0.0,0.0,-0.14407,-0.006027,0.122888,0.177964,-0.096226,0.011228,-0.139614,-0.016161,-0.115844,0.177986,-0.096226,0.01125,0.001875,-0.001211,-0.000195,-0.002695,0.001328,0.000703,0.0,-0.005311,
-0.009602,-0.975712,0.001697,0.0,0.0,0.0,-0.059613,0.01297,0.010696,0.0,0.0,0.0,-0.144335,-0.006081,0.123111,0.178296,-0.096414,0.011299,-0.139842,-0.016245,-0.116013,0.178317,-0.096414,0.01132,0.001962,-0.001267,-0.000204,-0.002821,0.00139,0.000736,0.0,-0.00556,
-0.009662,-0.975699,0.001707,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.1446,-0.006135,0.123335,0.178629,-0.096603,0.011371,-0.140071,-0.01633,-0.116181,0.178647,-0.096603,0.011389,0.00205,-0.001324,-0.000214,-0.002947,0.001452,0.000769,0.0,-0.005809,
-0.009721,-0.975686,0.001718,0.0,0.0,0.0,-0.059612,0.01297,0.010696,0.0,0.0,0.0,-0.144865,-0.006188,0.123559,0.178962,-0.096792,0.011442,-0.140299,-0.016414,-0.11635,0.178978,-0.096792,0.011459,0.002138,-0.001381,-0.000223,-0.003074,0.001515,0.000802,0.0,-0.006058,
-0.009781,-0.975673,0.001729,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.145131,-0.006242,0.123783,0.179295,-0.096981,0.011514,-0.140527,-0.016498,-0.116519,0.179309,-0.096981,0.011528,0.002226,-0.001438,-0.000232,-0.0032,0.001577,0.000835,0.0,-0.006307,
-0.009841,-0.97566,0.00174,0.0,0.0,0.0,-0.059613,0.01297,0.010696,0.0,0.0,0.0,-0.145396,-0.006296,0.124007,0.179627,-0.09717,0.011585,-0.140755,-0.016582,-0.116688,0.17964,-0.09717,0.011598,0.002314,-0.001494,-0.000241,-0.003326,0.001639,0.000868,0.0,-0.006556,
-0.0099,-0.975647,0.00175,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.145661,-0.00635,0.124231,0.17996,-0.097359,0.011657,-0.140984,-0.016667,-0.116856,0.179971,-0.097359,0.011668,0.002402,-0.001551,-0.00025,-0.003453,0.001701,0.000901,0.0,-0.006806,
-0.00996,-0.975634,0.001761,0.0,0.0,0.0,-0.059612,0.01297,0.010696,0.0,0.0,0.0,-0.145926,-0.006404,0.124454,0.180293,-0.097547,0.011728,-0.141212,-0.016751,-0.117025,0.180302,-0.097547,0.011737,0.00249,-0.001608,-0.000259,-0.003579,0.001764,0.000934,0.0,-0.007055,
-0.010019,-0.975621,0.001772,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.146192,-0.006457,0.124678,0.180625,-0.097736,0.011799,-0.14144,-0.016835,-0.117194,0.180633,-0.097736,0.011807,0.002578,-0.001665,-0.000269,-0.003705,0.001826,0.000967,0.0,-0.007304,
-0.010079,-0.975608,0.001782,0.0,0.0,0.0,-0.059613,0.01297,0.010696,0.0,0.0,0.0,-0.146457,-0.006511,0.124902,0.180958,-0.097925,0.011871,-0.141668,-0.01692,-0.117363,0.180964,-0.097925,0.011876,0.002666,-0.001722,-0.000278,-0.003832,0.001888,0.001,0.0,-0.007553,
-0.010139,-0.975595,0.001793,0.0,0.0,0.0,-0.059617,0.01297,0.010697,0.0,0.0,0.0,-0.146722,-0.006565,0.125126,0.181291,-0.098114,0.011942,-0.141897,-0.017004,-0.117531,0.181295,-0.098114,0.011946,0.002754,-0.001778,-0.000287,-0.003958,0.00195,0.001033,0.0,-0.007802,
